#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-06-17T14:36:40 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-06-17T14:36:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJS/161/304/models&-order=I&-out=Cluster&-out=Mod&-out=W0/gamma&-out=E_W0/gamma&-out=e_W0/gamma&-out=r0pc&-out=E_r0pc&-out=e_r0pc&-out=Mtot&-out=E_Mtot&-out=e_Mtot&-out=sigp0&-out=vesc0&-out=Rad&-out=kappa1&-out=kappa2&-out=kappa3&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21610304
#Name: J/ApJS/161/304
#Title: Star clusters in the Milky Way and satellites (McLaughlin+, 2005)
#INFO	ivoid=ivo://cds.vizier/j/apjs/161/304	    IVOID of underlying data collection
#INFO	creator=McLaughlin D.E.	    First author or institution
#INFO	cites=bibcode:2005ApJS..161..304M	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/161/304	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21610304	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_161_304_models:
#Name: J/ApJS/161/304/models
#Title: Results of models: basic fit parameters,  structural and dynamical parameters, radii and {kappa}-space parameters
#Column	Cluster	(a11)	Cluster name with galaxy prefix	[ucd=meta.id;meta.main]
#Column	Mod	(A2)	[KW PL] Model fit (G1)	[ucd=meta.id;stat.fit]
#Column	W0/gamma	(F5.2)	Dimensionless central potential (6)	[ucd=stat.fit.param]
#Column	E_W0/gamma	(F5.2)	Upper 1{sigma} error in WO	[ucd=stat.error;stat.max]
#Column	e_W0/gamma	(F5.2)	Lower 1{sigma} error in WO	[ucd=stat.error]
#Column	r0pc	(F7.3)	Scale radius in parsecs	[ucd=phys.size.radius;instr.scale]
#Column	E_r0pc	(F6.3)	Upper 1{sigma} error in r0pc	[ucd=stat.error;stat.max]
#Column	e_r0pc	(F6.3)	Lower 1{sigma} error in r0pc	[ucd=stat.error]
#Column	Mtot	(F5.2)	Log of total model mass	[ucd=phys.mass;meta.modelled]
#Column	E_Mtot	(F5.2)	Upper 1{sigma} error in Mtot	[ucd=stat.error;stat.max]
#Column	e_Mtot	(F5.2)	Lower 1{sigma} error in Mtot	[ucd=stat.error]
#Column	sigp0	(F5.2)	Velocity dispersion at R=0	[ucd=phys.veloc.dispersion]
#Column	vesc0	(F5.2)	Escape velocity at R=0	[ucd=phys.veloc.escape]
#Column	Rad	(F6.2)	Distance from center of parent galaxy (1)	[ucd=pos.distance]
#Column	kappa1	(F6.3)	kappa_1_ fundamental-plane parameter (2)	[ucd=stat.param]
#Column	kappa2	(F6.3)	kappa_2_ fundmental-plane parameter (2)	[ucd=stat.param]
#Column	kappa3	(F6.3)	kappa_3_ fundamental-plane parameter (2)	[ucd=stat.param]
Cluster	Mod	W0/gamma	E_W0/gamma	e_W0/gamma	r0pc	E_r0pc	e_r0pc	Mtot	E_Mtot	e_Mtot	sigp0	vesc0	Rad	kappa1	kappa2	kappa3
LMC-NGC1777	PL	 3.60	 0.25	 0.20	  4.110	 0.510	 0.420	 4.43	 0.14	 0.12	 1.26	 4.96	  4.40	-1.207	 2.418	 0.115
LMC-NGC1777	W 	 6.20	 0.50	 0.60	  3.830	 0.340	 0.250	 4.33	 0.12	 0.11	 1.26	 4.92	  4.40	-1.321	 2.660	 0.081
LMC-NGC1786	K 	 7.40	 0.20	 0.20	  0.950	 0.120	 0.120	 5.57	 0.05	 0.05	 8.58	35.18	  2.72	-0.427	 4.576	 0.520
LMC-NGC1786	PL	 3.60	 0.10	 0.10	  1.490	 0.130	 0.130	 5.64	 0.06	 0.06	 8.43	33.19	  2.72	-0.351	 4.381	 0.540
LMC-NGC1786	W 	 6.70	 0.20	 0.20	  1.230	 0.090	 0.090	 5.58	 0.05	 0.05	 8.53	33.94	  2.72	-0.422	 4.559	 0.518
LMC-NGC1805	K 	 6.10	 0.30	 0.30	  1.350	 0.110	 0.110	 3.67	 0.17	 0.17	 1.03	 4.02	  3.71	-1.792	 4.016	-0.605
LMC-NGC1805	PL	 4.10	 0.25	 0.20	  1.930	 0.240	 0.200	 3.73	 0.17	 0.17	 1.06	 4.03	  3.71	-1.742	 3.983	-0.598
LMC-NGC1805	W 	 5.70	 0.40	 0.40	  1.530	 0.140	 0.140	 3.70	 0.17	 0.17	 1.04	 4.03	  3.71	-1.772	 4.012	-0.602
LMC-NGC1818	K 	 6.60	 0.20	 0.20	  2.190	 0.120	 0.140	 4.42	 0.10	 0.10	 1.75	 6.96	  3.38	-1.261	 4.000	-0.444
LMC-NGC1818	PL	 4.30	 0.15	 0.15	  3.650	 0.230	 0.250	 4.42	 0.10	 0.10	 1.81	 6.84	  3.38	-1.260	 4.073	-0.443
LMC-NGC1818	W 	 5.70	 0.20	 0.20	  2.700	 0.120	 0.130	 4.41	 0.10	 0.10	 1.79	 6.91	  3.38	-1.267	 4.061	-0.445
LMC-NGC1831	K 	 5.70	 0.20	 0.20	  4.530	 0.220	 0.260	 4.59	 0.18	 0.18	 1.71	 6.60	  4.53	-1.145	 3.237	-0.081
LMC-NGC1831	PL	 5.10	 0.15	 0.15	  7.770	 0.340	 0.360	 4.57	 0.18	 0.18	 1.76	 6.47	  4.53	-1.155	 3.308	-0.075
LMC-NGC1831	W 	 4.60	 0.20	 0.20	  5.550	 0.250	 0.250	 4.57	 0.18	 0.18	 1.74	 6.53	  4.53	-1.154	 3.281	-0.078
LMC-NGC1835	K 	 6.70	 0.20	 0.20	  0.870	 0.080	 0.080	 5.71	 0.05	 0.05	12.05	48.11	  1.56	-0.348	 5.186	 0.503
LMC-NGC1835	PL	 4.15	 0.10	 0.10	  1.510	 0.100	 0.100	 5.73	 0.05	 0.05	12.22	46.44	  1.56	-0.328	 5.180	 0.504
LMC-NGC1835	W 	 5.90	 0.20	 0.10	  1.100	 0.040	 0.080	 5.72	 0.05	 0.05	12.25	47.59	  1.56	-0.342	 5.213	 0.502
LMC-NGC1841	K 	 2.40	 1.70	 2.10	 11.930	21.700	 2.680	 5.31	 0.07	 0.06	 3.69	13.14	 12.54	-0.616	 3.131	 0.507
LMC-NGC1841	PL	 6.45	 6.95	 1.95	 15.020	 9.630	 3.940	 5.35	 0.12	 0.07	 3.68	13.21	 12.54	-0.597	 3.095	 0.503
LMC-NGC1841	W 	 0.70	 3.30	 0.60	 23.360	38.310	13.400	 5.32	 0.09	 0.04	 3.69	13.14	 12.54	-0.611	 3.119	 0.506
LMC-NGC1847	K 	 9.70	 0.70	 0.70	  1.750	 0.120	 0.060	 4.44	 0.20	 0.19	 0.93	 4.22	  1.55	-1.096	 2.195	-0.320
LMC-NGC1847	PL	 3.05	 0.10	 0.00	  2.330	 0.220	 0.000	 4.94	 0.14	 0.45	 0.94	 3.94	  1.55	 2.355	-7.338	 2.207
LMC-NGC1847	W 	 9.40	 1.90	 0.80	  1.780	 0.110	 0.070	 4.74	 0.21	 0.18	 0.93	 4.31	  1.55	-0.752	 1.447	-0.213
LMC-NGC1850	K 	 7.60	 0.40	 0.30	  2.790	 0.160	 0.190	 4.86	 0.10	 0.09	 2.12	 8.77	  1.55	-0.917	 3.705	-0.367
LMC-NGC1850	PL	 3.05	 0.20	 0.00	  2.720	 0.520	 0.000	 5.72	 0.09	 0.59	 2.12	 8.90	  1.55	 2.903	-6.628	 2.259
LMC-NGC1850	W 	 7.90	 0.40	 0.40	  2.920	 0.190	 0.170	 5.04	 0.12	 0.12	 2.13	 8.86	  1.55	-0.665	 3.136	-0.266
LMC-NGC1856	K 	 7.70	 0.30	 0.20	  1.810	 0.090	 0.120	 4.88	 0.12	 0.12	 2.64	10.96	  1.32	-0.896	 3.922	-0.216
LMC-NGC1856	PL	 3.05	 0.10	 0.00	  1.810	 0.190	 0.000	 5.73	 0.12	 0.43	 2.64	11.08	  1.32	 2.914	-6.387	 2.406
LMC-NGC1856	W 	 8.00	 0.20	 0.20	  1.890	 0.070	 0.070	 5.07	 0.13	 0.13	 2.64	11.04	  1.32	-0.624	 3.296	-0.105
LMC-NGC1860	K 	 8.40	 0.70	 0.70	  1.580	 0.100	 0.070	 4.33	 0.19	 0.17	 1.25	 5.37	  1.44	-1.243	 2.807	-0.121
LMC-NGC1860	PL	 3.05	 0.25	 0.00	  1.620	 0.270	 0.000	 5.05	 0.13	 0.68	 1.27	 5.34	  1.44	 2.431	-7.187	 2.464
LMC-NGC1860	W 	 8.70	 0.10	 0.80	  1.620	 0.110	 0.080	 4.57	 0.21	 0.23	 1.26	 5.45	  1.44	-0.878	 1.967	 0.037
LMC-NGC1866	K 	 7.40	 0.10	 0.20	  2.910	 0.120	 0.060	 4.91	 0.12	 0.12	 2.31	 9.46	  3.89	-0.888	 3.635	-0.225
LMC-NGC1866	PL	 3.60	 0.10	 0.05	  3.810	 0.220	 0.120	 4.95	 0.12	 0.12	 2.39	 9.40	  3.89	-0.837	 3.591	-0.205
LMC-NGC1866	W 	 6.80	 0.20	 0.10	  3.310	 0.070	 0.140	 4.91	 0.12	 0.12	 2.37	 9.45	  3.89	-0.887	 3.686	-0.223
LMC-NGC1868	K 	 6.40	 0.20	 0.20	  1.460	 0.080	 0.080	 4.33	 0.18	 0.18	 2.01	 7.96	  5.18	-1.323	 3.810	-0.021
LMC-NGC1868	PL	 4.15	 0.15	 0.10	  2.190	 0.140	 0.100	 4.36	 0.18	 0.18	 2.09	 7.94	  5.18	-1.298	 3.839	-0.017
LMC-NGC1868	W 	 5.70	 0.20	 0.20	  1.730	 0.070	 0.080	 4.34	 0.18	 0.18	 2.06	 7.98	  5.18	-1.316	 3.850	-0.021
LMC-NGC1898	K 	 6.80	 0.40	 0.30	  2.340	 0.100	 0.120	 5.35	 0.06	 0.06	 4.78	19.17	  0.65	-0.597	 3.640	 0.512
LMC-NGC1898	PL	 3.35	 0.15	 0.15	  2.540	 0.220	 0.230	 5.59	 0.18	 0.11	 4.79	19.32	  0.65	-0.268	 2.887	 0.644
LMC-NGC1898	W 	 7.00	 0.40	 0.40	  2.450	 0.120	 0.110	 5.43	 0.09	 0.07	 4.79	19.25	  0.65	-0.507	 3.449	 0.538
LMC-NGC1916	K 	 6.80	 0.20	 0.20	  0.730	 0.070	 0.070	 5.77	 0.05	 0.05	13.83	55.43	  0.59	-0.301	 5.392	 0.508
LMC-NGC1916	PL	 3.95	 0.10	 0.10	  1.220	 0.090	 0.090	 5.82	 0.05	 0.05	13.83	53.13	  0.59	-0.264	 5.321	 0.513
LMC-NGC1916	W 	 6.20	 0.20	 0.20	  0.910	 0.070	 0.070	 5.79	 0.05	 0.05	13.91	54.51	  0.59	-0.288	 5.380	 0.509
LMC-NGC1984	K 	 6.90	 0.40	 0.40	  1.140	 0.130	 0.120	 3.82	 0.19	 0.19	 1.16	 4.67	  0.60	-1.676	 4.020	-0.565
LMC-NGC1984	PL	 3.45	 0.25	 0.15	  1.350	 0.260	 0.160	 4.00	 0.21	 0.21	 1.18	 4.71	  0.60	-1.462	 3.580	-0.492
LMC-NGC1984	W 	 6.80	 0.50	 0.50	  1.250	 0.140	 0.130	 3.88	 0.19	 0.19	 1.18	 4.70	  0.60	-1.615	 3.923	-0.551
LMC-NGC2004	K 	 7.40	 0.30	 0.20	  1.470	 0.120	 0.170	 4.36	 0.11	 0.11	 1.71	 7.02	  2.23	-1.281	 3.998	-0.451
LMC-NGC2004	PL	 3.90	 0.15	 0.10	  2.470	 0.260	 0.180	 4.41	 0.12	 0.12	 1.88	 7.23	  2.23	-1.258	 4.167	-0.459
LMC-NGC2004	W 	 6.40	 0.20	 0.20	  1.880	 0.130	 0.130	 4.38	 0.11	 0.11	 1.84	 7.26	  2.23	-1.279	 4.166	-0.461
LMC-NGC2005	K 	 7.00	 0.20	 0.20	  0.720	 0.060	 0.060	 5.27	 0.05	 0.05	 7.61	30.74	  0.38	-0.647	 4.719	 0.509
LMC-NGC2005	PL	 3.60	 0.10	 0.10	  0.990	 0.080	 0.080	 5.38	 0.06	 0.06	 7.68	30.23	  0.38	-0.533	 4.495	 0.540
LMC-NGC2005	W 	12.30	 0.90	 0.70	  0.017	 0.004	 0.005	 5.34	 0.05	 0.05	12.05	60.36	  0.38	-0.385	 4.992	 0.687
LMC-NGC2011	K 	 8.70	 0.50	 0.40	  0.860	 0.130	 0.120	 3.80	 0.26	 0.26	 0.86	 3.72	  2.06	-1.594	 3.215	-0.554
LMC-NGC2011	PL	 3.05	 0.10	 0.00	  1.060	 0.130	 0.000	 4.53	 0.25	 0.49	 0.87	 3.65	  2.06	 2.067	-6.730	 2.015
LMC-NGC2011	W 	 8.80	 0.00	 0.40	  0.880	 0.090	 0.050	 4.04	 0.26	 0.27	 0.88	 3.82	  2.06	-1.239	 2.438	-0.401
LMC-NGC2019	K 	 7.50	 0.20	 0.20	  0.620	 0.070	 0.070	 5.47	 0.05	 0.05	 9.30	38.29	  0.61	-0.488	 4.850	 0.523
LMC-NGC2019	PL	 3.50	 0.10	 0.10	  0.920	 0.100	 0.100	 5.61	 0.06	 0.06	 9.58	38.05	  0.61	-0.342	 4.604	 0.562
LMC-NGC2019	W 	 7.00	 0.20	 0.20	  0.760	 0.070	 0.070	 5.53	 0.05	 0.05	 9.58	38.53	  0.61	-0.438	 4.816	 0.531
LMC-NGC2031	K 	 6.90	 0.30	 0.30	  3.150	 0.230	 0.200	 4.48	 0.06	 0.05	 1.49	 5.99	  1.23	-1.210	 3.247	-0.215
LMC-NGC2031	PL	 3.35	 0.15	 0.10	  3.490	 0.380	 0.250	 4.72	 0.11	 0.10	 1.50	 6.05	  1.23	-0.884	 2.513	-0.085
LMC-NGC2031	W 	 6.90	 0.30	 0.40	  3.410	 0.260	 0.170	 4.55	 0.06	 0.06	 1.50	 6.03	  1.23	-1.137	 3.117	-0.196
LMC-NGC2100	K 	 7.70	 0.30	 0.30	  1.030	 0.200	 0.180	 4.36	 0.11	 0.11	 1.91	 7.93	  1.40	-1.269	 4.254	-0.481
LMC-NGC2100	PL	 3.30	 0.10	 0.10	  1.220	 0.220	 0.170	 4.59	 0.15	 0.13	 2.04	 8.27	  1.40	-0.915	 3.562	-0.326
LMC-NGC2100	W 	 7.30	 0.30	 0.20	  1.140	 0.130	 0.170	 4.43	 0.12	 0.11	 2.04	 8.29	  1.40	-1.189	 4.228	-0.460
LMC-NGC2121	K 	 3.00	 0.90	 0.90	 11.490	 2.470	 1.570	 5.00	 0.08	 0.07	 2.42	 8.72	  2.24	-0.842	 2.897	 0.314
LMC-NGC2121	PL	 6.00	 2.10	 1.05	 15.290	 4.250	 2.520	 5.04	 0.08	 0.08	 2.44	 8.82	  2.24	-0.817	 2.874	 0.312
LMC-NGC2121	W 	 1.70	 1.80	 1.60	 16.200	51.250	 5.060	 5.01	 0.08	 0.08	 2.44	 8.77	  2.24	-0.832	 2.893	 0.314
LMC-NGC2136	K 	 6.00	 0.20	 0.30	  1.720	 0.200	 0.120	 4.30	 0.06	 0.06	 1.91	 7.44	  2.13	-1.348	 4.100	-0.278
LMC-NGC2136	PL	 4.50	 0.20	 0.20	  2.870	 0.270	 0.280	 4.34	 0.06	 0.06	 1.97	 7.38	  2.13	-1.316	 4.111	-0.273
LMC-NGC2136	W 	 5.20	 0.30	 0.30	  2.110	 0.180	 0.170	 4.32	 0.06	 0.06	 1.95	 7.43	  2.13	-1.334	 4.120	-0.276
LMC-NGC2153	K 	 6.70	 0.50	 0.40	  0.920	 0.110	 0.120	 3.64	 0.17	 0.17	 1.09	 4.36	  3.98	-1.806	 3.231	 0.058
LMC-NGC2153	PL	 3.60	 0.25	 0.20	  1.140	 0.200	 0.160	 3.76	 0.18	 0.17	 1.10	 4.35	  3.98	-1.682	 2.992	 0.095
LMC-NGC2153	W 	 6.40	 0.50	 0.50	  1.040	 0.130	 0.110	 3.67	 0.17	 0.17	 1.10	 4.34	  3.98	-1.779	 3.193	 0.064
LMC-NGC2155	K 	 4.60	 0.90	 0.90	  4.800	 0.690	 0.500	 4.56	 0.09	 0.08	 1.85	 6.92	  4.67	-1.165	 2.885	 0.312
LMC-NGC2155	PL	 4.55	 0.85	 0.60	  6.170	 1.220	 0.960	 4.62	 0.11	 0.09	 1.87	 7.00	  4.67	-1.120	 2.830	 0.315
